number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
16,4,1,10,2,10,0.8472222222222222,0.12344714468493874,0.0010739803314208985,1.1333333333333333,0.35186577527449836,1.0,0.0,1.1333333333333333,0.35186577527449836
8,3,2,5,1,15,0.675,0.18198457693822914,0.0041368325551350916,1.6,0.6324555320336759,1.0,0.0,1.6,0.6324555320336759
4,2,2,5,5,5,0.7129629629629629,0.31342089474129675,0.0032743136088053387,1.5333333333333334,0.5163977794943222,1.0666666666666667,0.25819888974716115,1.6,0.5070925528371101
32,1,4,2,5,15,0.8203703703703703,0.1528198595242797,0.016600624720255534,1.0,0.0,2.1333333333333333,1.0600988273786194,2.1333333333333333,1.0600988273786194
8,1,1,2,5,10,0.8138888888888889,0.11956896425663259,0.0010904947916666667,1.0,0.0,1.0,0.0,1.0,0.0
8,4,2,10,2,15,0.675,0.18198457693822914,0.005027071634928385,1.6,0.6324555320336759,1.0,0.0,1.6,0.6324555320336759
32,1,3,2,2,10,0.8046296296296297,0.13793987946513073,0.0031236648559570313,1.0,0.0,1.0,0.0,1.0,0.0
16,4,3,10,10,10,0.8601851851851853,0.09338614970692426,0.0034533977508544923,1.3333333333333333,0.48795003647426666,1.0666666666666667,0.25819888974716115,1.4,0.5070925528371101
4,3,3,2,1,20,0.7444444444444444,0.2739719440057554,0.011848100026448568,1.0666666666666667,0.4577377082170634,0.9333333333333333,0.25819888974716115,1.0666666666666667,0.4577377082170634
32,1,4,5,1,15,0.8046296296296297,0.12067777190754342,0.0026519775390625,1.0,0.0,1.0,0.0,1.0,0.0
16,2,3,10,2,15,0.8388888888888889,0.0953331205828832,0.004590463638305664,1.3333333333333333,0.48795003647426666,1.0,0.0,1.3333333333333333,0.48795003647426666
16,4,4,5,5,10,0.8703703703703703,0.12396692443514706,0.007604900995890299,1.8,0.9411239481143203,1.2,0.41403933560541256,2.066666666666667,1.3870146083619754
32,2,1,5,1,10,0.8287037037037037,0.14459190682030107,0.0009924411773681641,1.2666666666666666,0.45773770821706344,1.0,0.0,1.2666666666666666,0.45773770821706344
16,2,1,10,5,20,0.8712962962962963,0.13097141917083951,0.001758909225463867,1.4,0.5070925528371101,1.0,0.0,1.4,0.5070925528371101
8,3,3,5,2,20,0.7666666666666667,0.18110417262003659,0.00829145113627116,1.0666666666666667,0.25819888974716115,1.0,0.0,1.0666666666666667,0.25819888974716115
16,4,2,5,10,15,0.8592592592592593,0.10444627376536011,0.005648088455200195,1.2666666666666666,0.4577377082170635,1.4666666666666666,0.5163977794943222,1.7333333333333334,0.7037315505489969
32,1,4,1,1,20,0.812962962962963,0.1460331837978451,0.00519568125406901,1.0,0.0,1.2,0.5606119105813882,1.2,0.5606119105813882
4,2,2,2,2,15,0.687037037037037,0.302285289482481,0.0038460095723470054,1.3333333333333333,0.48795003647426666,1.0,0.0,1.3333333333333333,0.48795003647426666
